date,module,corr_ln_mcap
2021-06-30,trend,0.13675194348018094
2021-06-30,breakout,0.07865225485899296
2021-06-30,quality,0.31497184590312866
2021-06-30,risk,0.06775543236108605
2021-06-30,score,0.2115987517295464
2021-09-30,trend,0.14904339998244903
2021-09-30,breakout,0.02125838564222483
2021-09-30,quality,0.29902131550389305
2021-09-30,risk,-0.007422534660624742
2021-09-30,score,0.1388557314738499
2021-12-31,trend,-0.06324498991943095
2021-12-31,breakout,-0.20689603949882848
2021-12-31,quality,0.31083317094526736
2021-12-31,risk,-0.07389320593433252
2021-12-31,score,-0.047814451897762365
2022-03-31,trend,-0.107694595492171
2022-03-31,breakout,-0.04592826396983975
2022-03-31,quality,0.2802705144752781
2022-03-31,risk,0.07249110830533144
2022-03-31,score,-0.021342743268839344
2022-06-30,trend,0.1291430171762649
2022-06-30,breakout,0.05375969208179742
2022-06-30,quality,0.2897136885267185
2022-06-30,risk,0.16343748348779943
2022-06-30,score,0.1755276762314372
2022-09-30,trend,0.03507355974095821
2022-09-30,breakout,0.10650103900744158
2022-09-30,quality,0.29507378840980675
2022-09-30,risk,0.21168490325168743
2022-09-30,score,0.1763487249263315
2022-12-30,trend,-0.06672824947775506
2022-12-30,breakout,-0.0033504635816645526
2022-12-30,quality,0.27027001525115957
2022-12-30,risk,0.17913778401735914
2022-12-30,score,0.07221349731764644
2023-03-31,trend,-0.008092511247606215
2023-03-31,breakout,0.08903113193578313
2023-03-31,quality,0.261673275813033
2023-03-31,risk,0.14985336356548473
2023-03-31,score,0.09044212892018534
2023-06-30,trend,-0.08970250539659211
2023-06-30,breakout,-0.17758282114922738
2023-06-30,quality,0.2553688550631805
2023-06-30,risk,0.041657139168444615
2023-06-30,score,-0.03644150110670761
2023-09-28,trend,-0.08122549911635414
2023-09-28,breakout,-0.036350972884001395
2023-09-28,quality,0.2591944634009233
2023-09-28,risk,0.11307209893044555
2023-09-28,score,0.031491090240707384
2023-12-29,trend,-0.15817940281838452
2023-12-29,breakout,-0.07140249153861604
2023-12-29,quality,0.2626649589093777
2023-12-29,risk,0.15055058443669248
2023-12-29,score,-0.038384161740352446
2024-03-29,trend,0.23664107419909147
2024-03-29,breakout,0.14918524938112349
2024-03-29,quality,0.2437021829274938
2024-03-29,risk,0.47343369265733715
2024-03-29,score,0.3267474666375465
2024-06-28,trend,0.2928898925940818
2024-06-28,breakout,0.2722397221189892
2024-06-28,quality,0.2591125595008067
2024-06-28,risk,0.5453171466869938
2024-06-28,score,0.42219753497710166
2024-09-30,trend,0.0052380612241039945
2024-09-30,breakout,0.19209506370933715
2024-09-30,quality,0.2658210333196734
2024-09-30,risk,0.42052143107110856
2024-09-30,score,0.27522649722166015
2024-12-31,trend,0.021469126383578542
2024-12-31,breakout,0.012788328314981938
2024-12-31,quality,0.2314888667065567
2024-12-31,risk,0.28825637285222916
2024-12-31,score,0.17632676901008687
2025-03-31,trend,-0.027121757217600326
2025-03-31,breakout,-0.02697017517361422
2025-03-31,quality,0.2303847184097486
2025-03-31,risk,0.24461015133293734
2025-03-31,score,0.0985242564012468
2025-06-30,trend,-0.12108377058465525
2025-06-30,breakout,-0.07256262325205756
2025-06-30,quality,0.22367321765557746
2025-06-30,risk,0.22331610634519605
2025-06-30,score,-0.012829778356166648
2025-09-30,trend,0.24042390892654794
2025-09-30,breakout,0.26296194296189607
2025-09-30,quality,0.22323190449028904
2025-09-30,risk,0.20839929685319836
2025-09-30,score,0.2944033170386115
2025-12-31,trend,0.17466160848902168
2025-12-31,breakout,0.10036634674935807
2025-12-31,quality,0.23137637883332118
2025-12-31,risk,0.11418974581077469
2025-12-31,score,0.22147671754042134
2026-03-31,trend,0.18232208460157645
2026-03-31,breakout,0.10194727334043922
2026-03-31,quality,0.22270731710985558
2026-03-31,risk,0.03450481155237063
2026-03-31,score,0.17778629140296698
2026-06-16,trend,0.33687257812957294
2026-06-16,breakout,0.23933833311918662
2026-06-16,quality,0.25885520566757947
2026-06-16,risk,0.07535347794533073
2026-06-16,score,0.34297663044863574
