,,annual_return,annual_return,annual_turnover,annual_turnover,max_drawdown,max_drawdown,sharpe,sharpe
period,,5y,max,5y,max,5y,max,5y,max
family,variant,,,,,,,,
target_volatility,tv08,0.11287728564665955,0.06331567566229301,12.633998161884382,10.082268540485826,-0.1109551721361618,-0.1617313597758555,1.2581829755886573,0.7650724644034077
target_volatility,tv10,0.12549638714074507,0.0698928890949837,13.444280773800033,10.5632763206254,-0.12335063406554525,-0.20574478899207305,1.202010577140557,0.7077603857439095
target_volatility,tv12,0.14135063372509293,0.07507047497793584,14.05121030663011,10.992152470109172,-0.134506132195357,-0.24478504041256344,1.1892168986890477,0.6566046740775774
target_volatility,tv14,0.15720633646980509,0.07874171767383498,14.39205906121433,11.335738490983623,-0.14005792800616546,-0.2756107221750824,1.1844814763263447,0.6092314417092856
target_volatility,tv16,0.17371800012259575,0.08104501880613824,14.623099551291599,11.587353903481654,-0.1403854108000927,-0.3272992277246157,1.1996399243323344,0.5656313545559392
target_volatility,tv18,0.19002573734092754,0.08264331201705288,14.865340562884153,11.789209034237807,-0.1403854108000947,-0.3738356121630678,1.207907182229622,0.5283719542383785
target_volatility,tv20,0.20239721296547342,0.08271775644728763,15.000077940594394,11.990839579973578,-0.14038541080009437,-0.4134767576073598,1.2092736246557256,0.49165528967541394
timing_ma,ma120,0.1303628795823295,0.06561925852284634,15.893334546498652,11.780938610763785,-0.1297036627277568,-0.25132601895976514,1.3097672723219393,0.737102797265667
timing_ma,ma150,0.11002509193542376,0.05724993531250622,15.977650540058137,11.65132456587465,-0.09663222969999918,-0.21077125557590248,1.1612149350909726,0.6705746368192675
timing_ma,ma180,0.12187943768512777,0.056639286187382565,12.478805295749526,10.94979219950708,-0.10042618095560696,-0.2058038181310029,1.3592041427788253,0.6738349080872843
timing_ma,ma200,0.11287728564665955,0.06331567566229301,12.633998161884382,10.082268540485824,-0.1109551721361618,-0.1617313597758555,1.2581829755886573,0.7650724644034079
timing_ma,ma240,0.10735026766778688,0.0748726434532645,13.454343044670226,9.889446025744903,-0.07297477965527543,-0.16200717279614718,1.2014386128764587,0.9205684046514715
timing_ma,ma300,0.10995086594475412,0.06374357983682089,10.515062025124402,9.393997804867007,-0.06659581817262772,-0.14490070958322943,1.3239512835913978,0.7883169499584766
turnover_structure,quarterly,0.19672683099188082,0.08280759368355195,14.960625105319622,11.900170572917565,-0.14038541080009292,-0.3951383904354753,1.210479313505223,0.5097533506576777
turnover_structure,sell90,0.12204361378714457,0.051634526757744936,22.077860352232435,16.565309309649525,-0.17385466360793833,-0.5579105665372717,0.7672390344788421,0.3152479887906551
