date,order_book_id,industry_name,rank,weight,score,trend,breakout,quality,risk
2026-06-16,300408.XSHE,计算机、通信和其他电子设备制造业,1,0.009,2.356,3.548,2.2395,1.263,0.3927
2026-06-16,600183.XSHG,计算机、通信和其他电子设备制造业,2,0.0098,2.322,3.6153,1.8906,1.1627,0.5633
2026-06-16,301377.XSHE,金属制品业,3,0.0079,2.2645,3.6688,1.8095,1.191,0.0891
2026-06-16,603608.XSHG,皮革、毛皮、羽毛及其制品和制鞋业,4,0.0093,2.248,3.6688,2.0671,0.5808,0.4494
2026-06-16,688300.XSHG,非金属矿物制品业,5,0.0077,2.2429,3.6688,1.8155,1.1266,0.0232
2026-06-16,605376.XSHG,金属制品业,6,0.0087,2.1693,3.6688,1.8395,0.5161,0.3144
2026-06-16,002484.XSHE,计算机、通信和其他电子设备制造业,7,0.0088,2.1654,3.6348,1.8572,0.569,0.2965
2026-06-16,688630.XSHG,专用设备制造业,8,0.0079,2.1512,3.6688,1.474,0.9559,0.0948
2026-06-16,002552.XSHE,通用设备制造业,9,0.0087,2.1319,3.6688,2.115,0.0548,0.3129
2026-06-16,603045.XSHG,电气机械和器材制造业,10,0.0083,2.1249,3.6688,1.8836,0.3687,0.1563
2026-06-16,301373.XSHE,化学原料和化学制品制造业,11,0.006,2.0956,3.6434,1.2799,1.181,-0.2409
2026-06-16,603256.XSHG,非金属矿物制品业,12,0.0077,2.0896,3.6688,1.2654,0.8984,0.039
2026-06-16,000636.XSHE,计算机、通信和其他电子设备制造业,13,0.0088,2.0847,3.6688,2.2401,-0.3332,0.3485
2026-06-16,603823.XSHG,化学原料和化学制品制造业,14,0.0105,2.0826,3.2854,2.2401,0.2594,0.6947
2026-06-16,301568.XSHE,专用设备制造业,15,0.0105,2.0775,2.9135,1.8799,1.4328,0.6928
2026-06-16,603311.XSHG,专用设备制造业,16,0.0098,2.0593,3.3861,2.1429,0.1303,0.5397
2026-06-16,603186.XSHG,计算机、通信和其他电子设备制造业,17,0.009,2.0547,3.6688,1.6006,0.1356,0.3768
2026-06-16,603986.XSHG,计算机、通信和其他电子设备制造业,18,0.0091,2.042,2.8643,1.5546,1.9093,0.4018
2026-06-16,300308.XSHE,计算机、通信和其他电子设备制造业,19,0.0103,2.0379,2.9309,1.1439,2.0241,0.5694
2026-06-16,688766.XSHG,计算机、通信和其他电子设备制造业,20,0.0066,2.0306,3.3704,1.2196,1.5307,-0.2409
2026-06-16,300835.XSHE,计算机、通信和其他电子设备制造业,21,0.0073,2.0272,3.6688,1.7369,0.3435,-0.266
2026-06-16,002859.XSHE,计算机、通信和其他电子设备制造业,22,0.0091,2.0061,3.4414,2.0035,0.1131,0.2278
2026-06-16,002636.XSHE,计算机、通信和其他电子设备制造业,23,0.0082,2.0047,3.6688,1.4876,0.1404,0.1871
2026-06-16,688610.XSHG,仪器仪表制造业,24,0.0073,1.9869,3.6688,1.3756,0.3896,-0.114
2026-06-16,300285.XSHE,化学原料和化学制品制造业,25,0.0077,1.9794,3.0859,2.2401,0.6806,0.044
2026-06-16,301200.XSHE,专用设备制造业,26,0.008,1.9766,3.4958,1.404,0.513,0.1337
2026-06-16,688146.XSHG,计算机、通信和其他电子设备制造业,27,0.0065,1.9739,3.6688,1.6888,0.2965,-0.4945
2026-06-16,601208.XSHG,化学原料和化学制品制造业,28,0.0082,1.969,3.6646,1.6335,-0.1805,0.1955
2026-06-16,603115.XSHG,计算机、通信和其他电子设备制造业,31,0.0079,1.9424,3.6688,1.3067,0.2394,-0.1188
2026-06-16,600487.XSHG,电气机械和器材制造业,37,0.008,1.9091,3.6373,1.3358,-0.0745,0.1336
